epoch,train_accuracy,train_loss,validation_accuracy,validation_loss,time,number_of_training_examples,number_of_validation_examples,saved_during_training
19,0.8994084320562855,2.4230323508968503,0.9536939034716342,2.3683157289350354,11.232197284698486,519636,37792,1
20,0.9001339399117844,2.4222555831661374,0.9547523285351397,2.367324648676692,11.230717897415161,519636,37792,1
21,0.901040343625153,2.421392361948809,0.9544612616426758,2.3674780613667257,11.232045650482178,519636,37792,0
22,0.9247242300379497,2.3977385200853423,0.9766617273497037,2.345463179253243,11.277756452560425,519636,37792,1
23,0.9319581399287193,2.390414538345938,0.9781435224386114,2.3440385702494027,11.221727848052979,519636,37792,1
24,0.9340365178702015,2.388411170854343,0.9779053767993227,2.344300811355178,11.244276523590088,519636,37792,0
25,0.9353720681400057,2.386954945842112,0.9779318374259103,2.3441758349135116,10.349337339401245,519636,37792,0
26,0.9366749032014718,2.3856477911078087,0.9776936917866215,2.344392473633225,7.740667343139648,519636,37792,0
27,0.9377102433241731,2.3845590719087855,0.9786462743437765,2.343369361516592,7.7245237827301025,519636,37792,1
28,0.9390958286184945,2.3833001368627773,0.9779847586790855,2.3441828006022685,7.7295708656311035,519636,37792,0
29,0.9401369420132555,2.3821958176733,0.9780112193056731,2.343960059655679,7.735619306564331,519636,37792,0
30,0.9406546120746061,2.3816934518926725,0.9790961049957663,2.3429636375324145,7.770134925842285,519636,37792,1
31,0.9411010784472208,2.381042502527162,0.9785933530906011,2.343476997839438,7.745816469192505,519636,37792,0
32,0.9415667890600343,2.3808127646371138,0.9790167231160034,2.3429537786019816,7.797018051147461,519636,37792,0
33,0.9431371190602653,2.37914824438846,0.9785404318374259,2.343707439061758,7.790960788726807,519636,37792,0
34,0.9437452370505508,2.3785035840169653,0.9776936917866215,2.3443993619970374,7.778079271316528,519636,37792,0
35,0.9442763780800406,2.377987657006331,0.9793871718882303,2.342697298204577,7.766183614730835,519636,37792,1
36,0.9439954121731365,2.378236471198675,0.9789638018628282,2.3430759004644446,7.753917455673218,519636,37792,0
37,0.9447786527492321,2.377419384915059,0.979704699407282,2.3423484982670963,7.738985538482666,519636,37792,1
38,0.945964097945485,2.3761939687991704,0.9791225656223539,2.342899477159655,7.757086753845215,519636,37792,0
39,0.9458717255925302,2.3763879974057356,0.9792284081287045,2.3428348012872644,7.749123811721802,519636,37792,0
40,0.9462931744528863,2.376015815209216,0.9802603725656224,2.341886887679229,7.742598295211792,519636,37792,1
41,0.9467146233132423,2.3755728710354784,0.9800751481795089,2.3419388242670007,7.848076581954956,519636,37792,0
42,0.9473188924554881,2.374851189260408,0.9811071126164268,2.3409818056467415,7.76245641708374,519636,37792,1
43,0.9469955892201464,2.3752345855780472,0.9810012701100762,2.3411369388167924,7.820542573928833,519636,37792,0
44,0.9478134694286,2.374426968454376,0.9802603725656224,2.341856202563724,7.740659236907959,519636,37792,0
45,0.948148319208061,2.3739733372147627,0.9803662150719729,2.341719627380371,7.826866865158081,519636,37792,0
46,0.9481694878722798,2.3740564443933683,0.9799693056731583,2.342123540672096,7.852132797241211,519636,37792,0
47,0.9487641348944261,2.3733796322439598,0.980868966977138,2.3411868520685144,7.778619766235352,519636,37792,0
48,0.9496358989754367,2.372553681294749,0.9810277307366638,2.3410351985209696,7.791419267654419,519636,37792,0
49,0.9500092372352955,2.372205324529663,0.9803662150719729,2.3418757399997197,7.828468561172485,519636,37792,0
50,0.9500477257156933,2.3721046921775097,0.9803926756985606,2.341635478509439,7.788349390029907,519636,37792,0
51,0.949489642749925,2.372616852362325,0.9806837425910245,2.3414766272983036,7.81683874130249,519636,37792,0
52,0.9504864943922284,2.371698764365489,0.979704699407282,2.3422638081215523,7.834809303283691,519636,37792,0
53,0.95116389164723,2.3710049775641733,0.9804455969517358,2.341630052875828,7.782963037490845,519636,37792,0
54,0.9512735838163637,2.3708171201503183,0.9811071126164268,2.3410250045157768,7.783449411392212,519636,37792,0
55,0.9513062990247019,2.370882856564259,0.9806837425910245,2.3413948432819263,7.779339075088501,519636,37792,0
56,0.9510022400295591,2.371076013628892,0.981530482641829,2.340624712608956,7.78967547416687,519636,37792,1
57,0.951533381059049,2.370598869060907,0.9808160457239627,2.3412495754860543,7.813368082046509,519636,37792,0
58,0.9518586087184105,2.3702734356790076,0.9807895850973751,2.3412877933399097,7.809473276138306,519636,37792,0
59,0.9519009460468482,2.3702365831127317,0.9806837425910245,2.3414363023397087,7.844034194946289,519636,37792,0
60,0.9527457681915803,2.3694095231416656,0.9809748094834886,2.341035063202317,7.769660472869873,519636,37792,0
61,0.9519952428238229,2.370079649714973,0.9812923370025403,2.3408782739897034,7.780414581298828,519636,37792,0
62,0.9533538861818658,2.3687726545521595,0.9812923370025403,2.340841512422304,7.818588972091675,519636,37792,0
63,0.9527361460714808,2.3693805627935514,0.9806043607112617,2.3414286729451774,7.822598457336426,519636,37792,0
64,0.9532846069171497,2.36884753535113,0.9798899237933955,2.342022805600553,7.810710430145264,519636,37792,0
65,0.9532730603730304,2.3688936726314815,0.9810012701100762,2.3410509856971533,7.8100080490112305,519636,37792,0
66,0.953879253939296,2.3681923470159214,0.9813981795088907,2.340690348599408,7.762243747711182,519636,37792,0
67,0.9541121092457028,2.367990859850185,0.9814511007620661,2.3405786656044625,7.807602167129517,519636,37792,0
68,0.9538908004834153,2.3682809519016836,0.9821919983065199,2.3400290076797075,7.748507499694824,519636,37792,1
69,0.9535020668313974,2.368586939620221,0.9806572819644369,2.3414523988156706,7.755068063735962,519636,37792,0
70,0.9538003525544805,2.3683336133093347,0.981160033869602,2.340893365241386,7.808589935302734,519636,37792,0
71,0.9541063359736431,2.3680510666426713,0.9814511007620661,2.3406292876681767,7.81123423576355,519636,37792,0
72,0.9544354124810445,2.3676292506728585,0.981530482641829,2.340463722074354,7.817229986190796,519636,37792,0
73,0.9540909405814839,2.3680274087613022,0.98174216765453,2.340388787759317,7.813524007797241,519636,37792,0
74,0.9539754751402905,2.368158110483425,0.9821390770533446,2.3399216291066764,7.809252738952637,519636,37792,0
75,0.9546086106428346,2.367480445565201,0.9812394157493649,2.3406561967488884,7.819573640823364,519636,37792,0
76,0.954955006966415,2.36712222634338,0.9803397544453852,2.3417023001490413,7.834462881088257,519636,37792,0
77,0.9550127396870117,2.3670765030102467,0.9824566045723963,2.339646545616356,7.886057615280151,519636,37792,1
78,0.9549877221747531,2.3671168295417244,0.9814511007620661,2.340650700234078,7.795959949493408,519636,37792,0
79,0.9549723267825939,2.367145294748892,0.9816098645215918,2.3405089056169666,7.818912506103516,519636,37792,0
80,0.9546336281550932,2.3674628406059086,0.9812129551227773,2.3408967095452384,7.8693320751190186,519636,37792,0
81,0.9547163783879485,2.3673534233739058,0.9820596951735817,2.3400214169476485,7.812618017196655,519636,37792,0
82,0.9557190033023116,2.3664206055205637,0.9823772226926334,2.339743453103143,7.821367979049683,519636,37792,0
83,0.9553726069787313,2.3666751877529415,0.9813187976291279,2.3408225420359017,7.822762966156006,519636,37792,0
84,0.9552975544419555,2.366750338415461,0.9813452582557155,2.3407313243762866,7.748634099960327,519636,37792,0
85,0.9553110254100947,2.366794314910108,0.9823772226926334,2.3396751365146122,7.800254821777344,519636,37792,0
86,0.9554765258758053,2.3666034415950925,0.9823507620660458,2.3396947190568254,7.768117904663086,519636,37792,0
87,0.955449583939527,2.3666555613983333,0.9814775613886537,2.3406386504302152,7.7327656745910645,519636,37792,0
88,0.9554822991478651,2.3666179527447917,0.9821655376799323,2.340008065507219,7.728006362915039,519636,37792,0
89,0.9553610604346119,2.3667209115554027,0.9813717188823031,2.3407356803481645,7.734569072723389,519636,37792,0
90,0.9557305498464309,2.3663050673139376,0.9819273920406435,2.3401806805584884,7.740931749343872,519636,37792,0
91,0.9562482199077816,2.3657872780101505,0.9817157070279424,2.3403569234384074,7.735835790634155,519636,37792,0
92,0.9562289756675827,2.3658274332369404,0.9807102032176122,2.341329690572378,7.728152751922607,519636,37792,0
93,0.9559711028489173,2.366101975985399,0.9803397544453852,2.341746697554717,7.766906976699829,519636,37792,0
94,0.9562809351161198,2.3657464652549565,0.9812394157493649,2.3408271364263586,7.744088411331177,519636,37792,0
95,0.9560153646013748,2.366074631533285,0.9821655376799323,2.339949350099306,7.741849899291992,519636,37792,0
96,0.9561327544665882,2.3659733149010367,0.9816892464013548,2.3404503770776697,7.727687358856201,519636,37792,0
97,0.9564791507901685,2.3655825135276074,0.9815040220152413,2.3405910440393396,7.732176780700684,519636,37792,0
98,0.9561462254347274,2.36596027744098,0.982112616426757,2.339974628912436,7.734719276428223,519636,37792,0
99,0.9568640355941467,2.365221667477465,0.9822184589331076,2.339890815116264,7.740396976470947,519636,37792,0
100,0.9563829295891739,2.365681459115246,0.9816363251481796,2.34042738579415,7.751840829849243,519636,37792,0
101,0.9559999692092157,2.3660811584765518,0.980948348856901,2.3411362171173096,7.78514289855957,519636,37792,0
102,0.9561577719788468,2.365839243404509,0.9826418289585097,2.339497843304196,7.730573654174805,519636,37792,1
103,0.9564098715254524,2.3656554846313056,0.9819803132938189,2.340034259332193,7.743135213851929,519636,37792,0
104,0.9563771563171143,2.365720522215986,0.9810012701100762,2.3409993519654146,7.7284674644470215,519636,37792,0
105,0.9568140005696295,2.3652780271890594,0.9811864944961897,2.3408796980574325,7.733208179473877,519636,37792,0
106,0.9566311802877399,2.3654261287741774,0.9818480101608806,2.3402096645252124,7.747828483581543,519636,37792,0
107,0.9568621111701268,2.365179558907907,0.9822713801862828,2.3398018527675317,7.728543519973755,519636,37792,0
108,0.9565869185352824,2.3654696706711777,0.9816892464013548,2.3404488370225236,7.727449655532837,519636,37792,0
109,0.956575371991163,2.365495746060619,0.9823507620660458,2.339674253721495,7.761271715164185,519636,37792,0
110,0.9568640355941467,2.3651891130162035,0.9804985182049111,2.3415635791984766,7.722790956497192,519636,37792,0
111,0.9555862180449392,2.3664671262418193,0.9813452582557155,2.340745751922195,7.731950044631958,519636,37792,0
112,0.9563617609249552,2.365767527283646,0.9819538526672311,2.340125928053985,7.725977420806885,519636,37792,0
113,0.9563367434126966,2.3657028628146555,0.9818744707874683,2.3401684567735,7.733803987503052,519636,37792,0
114,0.9577319508271175,2.3643696697678154,0.9824566045723963,2.3395994676126017,7.722986698150635,519636,37792,0
115,0.9573124263907813,2.3647500999330537,0.9824301439458086,2.339675117183376,7.722566604614258,519636,37792,0
116,0.9567100816725554,2.365369687868854,0.9814246401354784,2.340620588611912,7.755382537841797,519636,37792,0
117,0.9574182697118753,2.3646946882638407,0.9819538526672311,2.340003136042002,7.739025831222534,519636,37792,0
118,0.9560134401773549,2.3660485927514205,0.9817686282811177,2.340350105955794,7.745643377304077,519636,37792,0
119,0.9569968208515192,2.36506080721307,0.9802339119390348,2.341859772398665,7.740185976028442,519636,37792,0
120,0.9563656097729949,2.365667391949751,0.9828270533446232,2.33921792700484,7.736115217208862,519636,37792,1
121,0.9571988853736076,2.3648995583451637,0.9819009314140559,2.3401405553559997,7.732128381729126,519636,37792,0
122,0.957581845753566,2.364511805256521,0.9829328958509738,2.3391153425783724,7.744286060333252,519636,37792,1
123,0.9569833498833799,2.365100919261692,0.9820067739204065,2.3401144130809888,7.748075008392334,519636,37792,0
124,0.9564599065499696,2.3656429958155774,0.9826153683319221,2.3394278191231392,7.737111568450928,519636,37792,0
125,0.9570122162436783,2.365063089085376,0.9817686282811177,2.3403097358909815,7.770998239517212,519636,37792,0
126,0.9568852042583654,2.3651762848763953,0.9809748094834886,2.34108136151288,7.727144956588745,519636,37792,0
127,0.9577434973712368,2.3643175654523954,0.9815569432684166,2.340541394981178,7.742094993591309,519636,37792,0
128,0.9577665904594754,2.3643036451865367,0.9817950889077053,2.340265506022685,7.737112045288086,519636,37792,0
129,0.9568871286823853,2.3651961275911706,0.9814511007620661,2.3406527171263822,7.727145195007324,519636,37792,0
130,0.9572065830696872,2.364837464854473,0.9823772226926334,2.3397123555879333,7.7420947551727295,519636,37792,0
131,0.957828172028112,2.364241360679386,0.9819009314140559,2.3401897855707117,7.745085000991821,519636,37792,0
132,0.9571950365255679,2.364894052659433,0.9827476714648603,2.3393676216537886,7.753784656524658,519636,37792,0
133,0.9567966807534505,2.3652764281888645,0.9814246401354784,2.340677293571266,7.73991322517395,519636,37792,0
134,0.9569448614029821,2.3651147658430687,0.9820596951735817,2.3399961832407357,7.744179010391235,519636,37792,0
135,0.957033384907897,2.3650251603501986,0.981160033869602,2.3408567389926396,7.759038209915161,519636,37792,0
136,0.957705008890839,2.364363623885658,0.9817157070279424,2.3403389582762846,7.7331249713897705,519636,37792,0
137,0.9569852743073998,2.365073125193438,0.981821549534293,2.3402164304578625,7.730135202407837,519636,37792,0
138,0.9573855545035371,2.3646823745074235,0.9810277307366638,2.3410636476568274,7.7241551876068115,519636,37792,0
139,0.9573297462069602,2.3647749940241414,0.9810541913632514,2.340990942877692,7.720168352127075,519636,37792,0
140,0.9573778568074576,2.36472251706236,0.9821919983065199,2.3398833145966402,7.759038209915161,519636,37792,0
141,0.9572181296138066,2.364862067962256,0.9801280694326842,2.341923475265503,7.731131553649902,519636,37792,0
142,0.9563155747484777,2.365728322445877,0.9812129551227773,2.340863311612928,7.727144479751587,519636,37792,0
143,0.9568313203858085,2.365234709630801,0.9822978408128704,2.339819012461482,7.713191747665405,519636,37792,0
144,0.9558941258881217,2.3661400497429015,0.9811864944961897,2.340859522690644,7.729137897491455,519636,37792,0
145,0.9569333148588628,2.365127146713377,0.9817686282811177,2.3402983755678743,7.718174934387207,519636,37792,0
146,0.9567793609372715,2.365277020950017,0.9813452582557155,2.3407596575247274,7.715184926986694,519636,37792,0
147,0.9570391581799568,2.365045581746289,0.9820067739204065,2.3400787985002673,7.7311317920684814,519636,37792,0
148,0.9565291858146857,2.3655439375892398,0.9820861558001693,2.3399969242714547,7.755051612854004,519636,37792,0
149,0.9572931821505823,2.3647820789982954,0.9821390770533446,2.3399138386185103,7.736114501953125,519636,37792,0
150,0.9558768060719427,2.3662110736050943,0.9815040220152413,2.3405763716311068,7.723158121109009,519636,37792,0
151,0.9573201240868608,2.3647338738591652,0.98174216765453,2.3403028733021505,7.717178583145142,519636,37792,0
152,0.9568640355941467,2.365172527906463,0.9815834038950042,2.340527798678424,7.720167875289917,519636,37792,0
153,0.9568601867461068,2.3652159665513226,0.9793607112616427,2.342661406542804,7.727144956588745,519636,37792,0
